Day,Month,Hour,Name,Map,h1,link,id,website,Image_Path
16,Ağustos,12:00,Bubble Show, Şato Yazar Sahne ,Bubble Show,https://www.biletix.com/etkinlik/4MF67/TURKIYE/tr,9c3705a2-dc59-4dd7-963b-88f8fdc1e1dd,Biletix,
28,Ağustos,16:00,Bubble Show, Şato Yazar Sahne ,Bubble Show,https://www.biletix.com/etkinlik/4MF67/TURKIYE/tr,9c3705a2-dc59-4dd7-963b-88f8fdc1e1dd,Biletix,
30,Ağustos,16:00,Bubble Show, Şato Yazar Sahne ,Bubble Show,https://www.biletix.com/etkinlik/4MF67/TURKIYE/tr,9c3705a2-dc59-4dd7-963b-88f8fdc1e1dd,Biletix,
13,Ağustos,16:00,Bubble Show, Şato Yazar Sahne ,Bubble Show,https://www.biletix.com/etkinlik/4MF67/TURKIYE/tr,9c3705a2-dc59-4dd7-963b-88f8fdc1e1dd,Biletix,
13,Ağustos,18:00,Sorun Bende Değil Sende, Çukurambar Kültür ve Sanat Merkezi ,Sorun Bende Değil Sende,https://www.biletix.com/etkinlik/4MF98/TURKIYE/tr,7a27a7a4-ab9e-426c-af36-b0ec912d1e59,Biletix,
23,Ağustos,20:00,Sorun Bende Değil Sende, Çukurambar Kültür ve Sanat Merkezi ,Sorun Bende Değil Sende,https://www.biletix.com/etkinlik/4MF98/TURKIYE/tr,7a27a7a4-ab9e-426c-af36-b0ec912d1e59,Biletix,
28,Ağustos,20:00,Sorun Bende Değil Sende, Çukurambar Kültür ve Sanat Merkezi ,Sorun Bende Değil Sende,https://www.biletix.com/etkinlik/4MF98/TURKIYE/tr,7a27a7a4-ab9e-426c-af36-b0ec912d1e59,Biletix,
31,Ağustos,20:00,Sorun Bende Değil Sende, Çukurambar Kültür ve Sanat Merkezi ,Sorun Bende Değil Sende,https://www.biletix.com/etkinlik/4MF98/TURKIYE/tr,7a27a7a4-ab9e-426c-af36-b0ec912d1e59,Biletix,
13,Ağustos,19:00,Masterpiece Ankara Heykel - Deniz Kabuğu, Masterpiece Ankara ,Masterpiece Ankara Heykel - Deniz Kabuğu,https://www.biletix.com/etkinlik/41513/TURKIYE/tr,99217d93-999b-4502-be55-cf75dfa2b0ec,Biletix,
13,Ağustos,19:00,Masterpiece Ankara Resim - Kumsaldaki Kız, Masterpiece Ankara ,Masterpiece Ankara Resim - Kumsaldaki Kız,https://www.biletix.com/etkinlik/41495/TURKIYE/tr,a4480749-0568-4e1d-9f1c-f25ff4c79952,Biletix,
13,Ağustos,20:00,Göksu Lezzet Atlası, Göksu No: 5 Sahne ,Göksu Lezzet Atlası,https://www.biletix.com/etkinlik/4HCG8/TURKIYE/tr,e5bcb154-cfcb-4e88-a062-6788b0fbfe69,Biletix,
13,Ağustos,20:00,Bir Delinin Hatıra Defteri, Çukurambar Kültür ve Sanat Merkezi ,Bir Delinin Hatıra Defteri,https://www.biletix.com/etkinlik/4MF92/TURKIYE/tr,b6c02a1e-e9bd-4d34-8ebd-9b1d7c437c53,Biletix,
13,Ağustos,20:30,The Departed, JW Marriott Hotel Ankara ,The Departed,https://www.biletix.com/etkinlik/4HMS4/TURKIYE/tr,8f232052-4995-4f33-879f-5f23ef83b235,Biletix,
13,Ağustos,20:30,Altı Üstü Stand Up Gecesi, Altı Üstü Bar ,Altı Üstü Stand Up Gecesi,https://www.biletix.com/etkinlik/4EFBX/TURKIYE/tr,b4106117-83eb-4752-88ff-2368d3793549,Biletix,
20,Ağustos,20:30,Altı Üstü Stand Up Gecesi, Altı Üstü Bar ,Altı Üstü Stand Up Gecesi,https://www.biletix.com/etkinlik/4EFBX/TURKIYE/tr,b4106117-83eb-4752-88ff-2368d3793549,Biletix,
27,Ağustos,20:30,Altı Üstü Stand Up Gecesi, Altı Üstü Bar ,Altı Üstü Stand Up Gecesi,https://www.biletix.com/etkinlik/4EFBX/TURKIYE/tr,b4106117-83eb-4752-88ff-2368d3793549,Biletix,
13,Ağustos,20:30,Muhteşem Yüzyıl Quiz Night, Quito Coffee ,Muhteşem Yüzyıl Quiz Night,https://www.biletix.com/etkinlik/4EFD4/TURKIYE/tr,d097f9d6-5cd5-4aad-ae8e-e17c8369e910,Biletix,
13,Ağustos,21:00,Belki Biraz, IF Performance Hall ,Belki Biraz,https://www.biletix.com/etkinlik/4K815/TURKIYE/tr,0bcc74eb-963c-4861-b4c3-1b7295587234,Biletix,
13,Ağustos,21:00,An Epic Symphony & Gökhan Türkmen, Oran Açık Hava Sahnesi ,An Epic Symphony & Gökhan Türkmen,https://www.biletix.com/etkinlik/4EA68/TURKIYE/tr,13cad75d-b614-431a-983c-88a8931ddd46,Biletix,
14,Ağustos,18:00,Gece Oyunu, Şato Yazar Sahne ,Gece Oyunu,https://www.biletix.com/etkinlik/4MF81/TURKIYE/tr,2117d81a-2996-4071-95a2-33f70c49e2a8,Biletix,
15,Ağustos,15:00,Gece Oyunu, Şato Yazar Sahne ,Gece Oyunu,https://www.biletix.com/etkinlik/4MF81/TURKIYE/tr,2117d81a-2996-4071-95a2-33f70c49e2a8,Biletix,
